Date,Unit,Value,Dec
28.01.24 16:54:01,C,24,414
28.01.24 17:09:01,C,29,537
28.01.24 17:24:01,C,29,537
28.01.24 17:39:01,C,24,226
28.01.24 17:54:01,C,24,414
28.01.24 18:09:01,C,23,851
28.01.24 18:24:01,C,22,35
28.01.24 18:39:01,C,17,529
28.01.24 18:54:01,C,18,532
28.01.24 19:09:01,C,20,41
28.01.24 19:24:01,C,19,972
28.01.24 19:39:01,C,27,039
28.01.24 19:54:01,C,22,537
28.01.24 20:09:01,C,24,789
28.01.24 20:24:01,C,-1,186
28.01.24 20:39:01,C,-3,075
28.01.24 20:54:01,C,-3,39
28.01.24 21:09:01,C,-3,642
28.01.24 21:24:01,C,-3,831
28.01.24 21:39:01,C,-3,201
28.01.24 21:54:01,C,-2,823
28.01.24 22:09:01,C,-2,886
28.01.24 22:24:01,C,-3,075
28.01.24 22:39:01,C,-3,39
28.01.24 22:54:01,C,-3,075
28.01.24 23:09:01,C,-2,949
28.01.24 23:24:01,C,-2,634
28.01.24 23:39:01,C,-2,823
28.01.24 23:54:01,C,-2,13
29.01.24 0:09:01,C,-2,445
29.01.24 0:24:01,C,-2,571
29.01.24 0:39:01,C,-2,508
29.01.24 0:54:01,C,-2,256
29.01.24 1:09:01,C,-2,13
29.01.24 1:24:01,C,-2,067
29.01.24 1:39:01,C,-2,13
29.01.24 1:54:01,C,-2,13
29.01.24 2:09:01,C,-2,067
29.01.24 2:24:01,C,-2,005
29.01.24 2:39:01,C,-2,067
29.01.24 2:54:01,C,-2,067
29.01.24 3:09:01,C,-1,942
29.01.24 3:24:01,C,-1,879
29.01.24 3:39:01,C,-1,816
29.01.24 3:54:01,C,-1,816
29.01.24 4:09:01,C,-1,816
29.01.24 4:24:01,C,-1,753
29.01.24 4:39:01,C,-1,816
29.01.24 4:54:01,C,-1,627
29.01.24 5:09:01,C,-1,753
29.01.24 5:24:01,C,-1,627
29.01.24 5:39:01,C,-1,501
29.01.24 5:54:01,C,-1,438
29.01.24 6:09:01,C,-1,438
29.01.24 6:24:01,C,-1,375
29.01.24 6:39:01,C,-1,312
29.01.24 6:54:01,C,-1,312
29.01.24 7:09:01,C,-1,249
29.01.24 7:24:01,C,-1,249
29.01.24 7:39:01,C,-1,186
29.01.24 7:54:01,C,-1,186
29.01.24 8:09:01,C,-1,06
29.01.24 8:24:01,C,-1,06
29.01.24 8:39:01,C,-0,997
29.01.24 8:54:01,C,-0,934
29.01.24 9:09:01,C,-0,934
29.01.24 9:24:01,C,-0,997
29.01.24 9:39:01,C,-1,06
29.01.24 9:54:01,C,-1,186
29.01.24 10:09:01,C,-1,06
29.01.24 10:24:01,C,-1,123
29.01.24 10:39:01,C,-1,123
29.01.24 10:54:01,C,-0,997
29.01.24 11:09:01,C,-0,934
29.01.24 11:24:01,C,-0,871
29.01.24 11:39:01,C,-0,808
29.01.24 11:54:01,C,-0,745
29.01.24 12:09:01,C,-0,745
29.01.24 12:24:01,C,-0,682
29.01.24 12:39:01,C,-0,745
29.01.24 12:54:01,C,-0,745
29.01.24 13:09:01,C,-0,619
29.01.24 13:24:01,C,-0,745
29.01.24 13:39:01,C,-0,556
29.01.24 13:54:01,C,-0,493
29.01.24 14:09:01,C,-0,493
29.01.24 14:24:01,C,-0,556
29.01.24 14:39:01,C,-0,367
29.01.24 14:54:01,C,-0,367
29.01.24 15:09:01,C,-0,556
29.01.24 15:24:01,C,-0,493
29.01.24 15:39:01,C,-0,556
29.01.24 15:54:01,C,-0,367
29.01.24 16:09:01,C,-0,556
29.01.24 16:24:01,C,-0,493
29.01.24 16:39:01,C,-0,242
29.01.24 16:54:01,C,-0,43
29.01.24 17:09:01,C,0,136
29.01.24 17:24:01,C,0,136
29.01.24 17:39:01,C,0,073
29.01.24 17:54:01,C,-0,179
29.01.24 18:09:01,C,-0,43
29.01.24 18:24:01,C,-0,305
29.01.24 18:39:01,C,0,01
29.01.24 18:54:01,C,0,199
29.01.24 19:09:01,C,0,325
29.01.24 19:24:01,C,0,262
29.01.24 19:39:01,C,0,262
29.01.24 19:54:01,C,0,073
29.01.24 20:09:01,C,-0,116
29.01.24 20:24:01,C,0,073
29.01.24 20:39:01,C,0,262
29.01.24 20:54:01,C,0,136
29.01.24 21:09:01,C,0,073
29.01.24 21:24:01,C,-0,116
29.01.24 21:39:01,C,-0,242
29.01.24 21:54:01,C,0,073
29.01.24 22:09:01,C,0,073
29.01.24 22:24:01,C,0,451
29.01.24 22:39:01,C,0,388
29.01.24 22:54:01,C,0,325
29.01.24 23:09:01,C,0,325
29.01.24 23:24:01,C,0,262
29.01.24 23:39:01,C,0,325
29.01.24 23:54:01,C,-0,179
30.01.24 0:09:01,C,-0,305
30.01.24 0:24:01,C,-0,116
30.01.24 0:39:01,C,-0,367
30.01.24 0:54:01,C,-0,367
30.01.24 1:09:01,C,-0,179
30.01.24 1:24:01,C,-0,242
30.01.24 1:39:01,C,-0,43
30.01.24 1:54:01,C,-0,43
30.01.24 2:09:01,C,-0,242
30.01.24 2:24:01,C,-0,43
30.01.24 2:39:01,C,-0,745
30.01.24 2:54:01,C,-0,871
30.01.24 3:09:01,C,-1,249
30.01.24 3:24:01,C,-1,438
30.01.24 3:39:01,C,-1,249
30.01.24 3:54:01,C,-1,186
30.01.24 4:09:01,C,-1,06
30.01.24 4:24:01,C,-0,745
30.01.24 4:39:01,C,-0,871
30.01.24 4:54:01,C,-0,745
30.01.24 5:09:01,C,-0,619
30.01.24 5:24:01,C,-0,871
30.01.24 5:39:01,C,-0,745
30.01.24 5:54:01,C,-0,997
30.01.24 6:09:01,C,-1,312
30.01.24 6:24:01,C,-0,808
30.01.24 6:39:01,C,-0,556
30.01.24 6:54:01,C,-0,43
30.01.24 7:09:01,C,-1,186
30.01.24 7:24:01,C,-0,871
30.01.24 7:39:01,C,-1,249
30.01.24 7:54:01,C,-1,501
30.01.24 8:09:01,C,-1,627
30.01.24 8:24:01,C,-1,627
30.01.24 8:39:01,C,-1,753
30.01.24 8:54:01,C,-1,186
30.01.24 9:09:01,C,-1,627
30.01.24 9:24:01,C,-1,186
30.01.24 9:39:01,C,-1,753
30.01.24 9:54:01,C,-1,942
30.01.24 10:09:01,C,-1,879
30.01.24 10:24:01,C,-2,823
30.01.24 10:39:01,C,-3,642
30.01.24 10:54:01,C,-4,461
30.01.24 11:09:01,C,-4,461
30.01.24 11:24:01,C,-4,84
30.01.24 11:39:01,C,-5,029
30.01.24 11:54:01,C,-5,659
30.01.24 12:09:01,C,-5,533
30.01.24 12:24:01,C,-5,533
30.01.24 12:39:01,C,-4,65
30.01.24 12:54:01,C,-4,335
30.01.24 13:09:01,C,-4,398
30.01.24 13:24:01,C,-2,76
30.01.24 13:39:01,C,-1,564
30.01.24 13:54:01,C,-2,193
30.01.24 14:09:01,C,-1,438
30.01.24 14:24:01,C,-1,312
30.01.24 14:39:01,C,-1,06
30.01.24 14:54:01,C,-1,942
30.01.24 15:09:01,C,-2,193
30.01.24 15:24:01,C,-2,067
30.01.24 15:39:01,C,-1,879
30.01.24 15:54:01,C,-1,942
30.01.24 16:09:01,C,-2,005
30.01.24 16:24:01,C,-2,13
30.01.24 16:39:01,C,-2,13
30.01.24 16:54:01,C,-2,067
30.01.24 17:09:01,C,-2,005
30.01.24 17:24:01,C,-1,942
30.01.24 17:39:01,C,-1,816
30.01.24 17:54:01,C,-1,753
30.01.24 18:09:01,C,-1,249
30.01.24 18:24:01,C,-0,556
30.01.24 18:39:01,C,-0,556
30.01.24 18:54:01,C,-1,06
30.01.24 19:09:01,C,-1,312
30.01.24 19:24:01,C,0,136
30.01.24 19:39:01,C,0,01
30.01.24 19:54:01,C,0,514
30.01.24 20:09:01,C,1,017
30.01.24 20:24:01,C,1,206
30.01.24 20:39:01,C,0,954
30.01.24 20:54:01,C,0,828
30.01.24 21:09:01,C,1,143
30.01.24 21:24:01,C,0,765
30.01.24 21:39:01,C,1,143
30.01.24 21:54:01,C,0,765
30.01.24 22:09:01,C,0,891
30.01.24 22:24:01,C,1,395
30.01.24 22:39:01,C,1,206
30.01.24 22:54:01,C,1,017
30.01.24 23:09:01,C,1,143
30.01.24 23:24:01,C,0,954
30.01.24 23:39:01,C,0,765
30.01.24 23:54:01,C,0,702
31.01.24 0:09:01,C,0,325
31.01.24 0:24:01,C,-0,116
31.01.24 0:39:01,C,-0,556
31.01.24 0:54:01,C,-0,493
31.01.24 1:09:01,C,-0,367
31.01.24 1:24:01,C,-0,745
31.01.24 1:39:01,C,-1,753
31.01.24 1:54:01,C,-0,43
31.01.24 2:09:01,C,-0,242
31.01.24 2:24:01,C,-0,493
31.01.24 2:39:01,C,-0,682
31.01.24 2:54:01,C,-1,249
31.01.24 3:09:01,C,-1,06
31.01.24 3:24:01,C,-1,249
31.01.24 3:39:01,C,-2,508
31.01.24 3:54:01,C,-4,02
31.01.24 4:09:01,C,-4,461
31.01.24 4:24:01,C,-4,209
31.01.24 4:39:01,C,-4,776
31.01.24 4:54:01,C,-4,776
31.01.24 5:09:01,C,-4,587
31.01.24 5:24:01,C,-4,65
31.01.24 5:39:01,C,-4,587
31.01.24 5:54:01,C,-5,029
31.01.24 6:09:01,C,-4,65
31.01.24 6:24:01,C,-4,587
31.01.24 6:39:01,C,-4,587
31.01.24 6:54:01,C,-4,398
31.01.24 7:09:01,C,-4,146
31.01.24 7:24:01,C,-4,209
31.01.24 7:39:01,C,-3,957
31.01.24 7:54:01,C,-4,335
31.01.24 8:09:01,C,-4,461
31.01.24 8:24:01,C,-4,335
31.01.24 8:39:01,C,-4,335
31.01.24 8:54:01,C,-4,209
31.01.24 9:09:01,C,-4,587
31.01.24 9:24:01,C,-4,713
31.01.24 9:39:01,C,-4,966
31.01.24 9:54:01,C,-5,407
31.01.24 10:09:01,C,-5,533
31.01.24 10:24:01,C,-6,037
31.01.24 10:39:01,C,-5,785
31.01.24 10:54:01,C,-5,659
31.01.24 11:09:01,C,-3,327
