Date,Unit,Value,Dec
28.01.24 17:00:01,C,31,02
28.01.24 17:15:01,C,31,02
28.01.24 17:30:01,C,22,71
28.01.24 17:45:01,C,23,023
28.01.24 18:00:01,C,24,398
28.01.24 18:15:01,C,23,023
28.01.24 18:30:01,C,21,897
28.01.24 18:45:01,C,18,205
28.01.24 19:00:01,C,19,394
28.01.24 19:15:01,C,20,27
28.01.24 19:30:01,C,27,086
28.01.24 19:45:01,C,31,769
28.01.24 20:00:01,C,0,638
28.01.24 20:15:01,C,-2,759
28.01.24 20:30:01,C,-2,884
28.01.24 20:45:01,C,-3,136
28.01.24 21:00:01,C,-3,325
28.01.24 21:15:01,C,-3,199
28.01.24 21:30:01,C,-3,451
28.01.24 21:45:01,C,-3,64
28.01.24 22:00:01,C,-3,514
28.01.24 22:15:01,C,-3,262
28.01.24 22:30:01,C,-3,136
28.01.24 22:45:01,C,-3,199
28.01.24 23:00:01,C,-3,073
28.01.24 23:15:01,C,-2,947
28.01.24 23:30:01,C,-2,947
28.01.24 23:45:01,C,-2,884
29.01.24 0:00:01,C,-2,822
29.01.24 0:15:01,C,-2,696
29.01.24 0:30:01,C,-2,633
29.01.24 0:45:01,C,-2,57
29.01.24 1:00:01,C,-2,633
29.01.24 1:15:01,C,-2,57
29.01.24 1:30:01,C,-2,57
29.01.24 1:45:01,C,-2,633
29.01.24 2:00:01,C,-2,57
29.01.24 2:15:01,C,-2,381
29.01.24 2:30:01,C,-2,255
29.01.24 2:45:01,C,-2,192
29.01.24 3:00:01,C,-2,129
29.01.24 3:15:01,C,-2,067
29.01.24 3:30:01,C,-2,067
29.01.24 3:45:01,C,-2,004
29.01.24 4:00:01,C,-1,941
29.01.24 4:15:01,C,-1,878
29.01.24 4:30:01,C,-1,878
29.01.24 4:45:01,C,-1,815
29.01.24 5:00:01,C,-1,689
29.01.24 5:15:01,C,-1,689
29.01.24 5:30:01,C,-1,626
29.01.24 5:45:01,C,-1,5
29.01.24 6:00:01,C,-1,437
29.01.24 6:15:01,C,-1,375
29.01.24 6:30:01,C,-1,312
29.01.24 6:45:01,C,-1,186
29.01.24 7:00:01,C,-1,249
29.01.24 7:15:01,C,-1,186
29.01.24 7:30:01,C,-0,997
29.01.24 7:45:01,C,-0,997
29.01.24 8:00:01,C,-0,997
29.01.24 8:15:01,C,-0,997
29.01.24 8:30:01,C,-0,997
29.01.24 8:45:01,C,-0,809
29.01.24 9:00:01,C,-0,934
29.01.24 9:15:01,C,-1,123
29.01.24 9:30:01,C,-1,186
29.01.24 9:45:01,C,-1,123
29.01.24 10:00:01,C,-1,186
29.01.24 10:15:01,C,-1,123
