Date,Unit,Value,Dec
28.01.24 16:56:01,C,25,518
28.01.24 17:11:01,C,27,205
28.01.24 17:26:01,C,25,142
28.01.24 17:41:01,C,24,08
28.01.24 17:56:01,C,24,33
28.01.24 18:11:01,C,23,955
28.01.24 18:26:01,C,23,267
28.01.24 18:41:01,C,22,766
28.01.24 18:56:01,C,22,704
28.01.24 19:11:01,C,22,704
28.01.24 19:26:01,C,22,704
28.01.24 19:41:01,C,22,766
28.01.24 19:56:01,C,22,829
28.01.24 20:11:01,C,22,891
28.01.24 20:26:01,C,22,891
28.01.24 20:41:01,C,22,954
28.01.24 20:56:01,C,22,954
28.01.24 21:11:01,C,22,954
28.01.24 21:26:01,C,22,766
28.01.24 21:41:01,C,22,516
28.01.24 21:56:01,C,23,142
28.01.24 22:11:01,C,17,633
28.01.24 22:26:01,C,21,327
28.01.24 22:41:01,C,15,879
28.01.24 22:56:01,C,8,1
28.01.24 23:11:01,C,5,901
28.01.24 23:26:01,C,-2,465
28.01.24 23:41:01,C,-2,402
28.01.24 23:56:01,C,-2,402
29.01.24 0:11:01,C,-2,528
29.01.24 0:26:01,C,-2,465
29.01.24 0:41:01,C,-2,402
29.01.24 0:56:01,C,-2,402
29.01.24 1:11:01,C,-2,465
29.01.24 1:26:01,C,-2,528
29.01.24 1:41:01,C,-2,465
29.01.24 1:56:01,C,-2,528
29.01.24 2:11:01,C,-2,402
29.01.24 2:26:01,C,-2,276
29.01.24 2:41:01,C,-2,15
29.01.24 2:56:01,C,-2,087
29.01.24 3:11:01,C,-2,024
29.01.24 3:26:01,C,-2,087
29.01.24 3:41:01,C,-2,024
29.01.24 3:56:01,C,-1,961
29.01.24 4:11:01,C,-1,961
29.01.24 4:26:01,C,-1,898
29.01.24 4:41:01,C,-1,772
29.01.24 4:56:01,C,-1,709
29.01.24 5:11:01,C,-1,583
29.01.24 5:26:01,C,-1,52
29.01.24 5:41:01,C,-1,457
29.01.24 5:56:01,C,-1,457
29.01.24 6:11:01,C,-1,395
29.01.24 6:26:01,C,-1,269
29.01.24 6:41:01,C,-1,08
29.01.24 6:56:01,C,-1,017
29.01.24 7:11:01,C,-1,017
29.01.24 7:26:01,C,-1,08
29.01.24 7:41:01,C,-1,017
29.01.24 7:56:01,C,-1,017
29.01.24 8:11:01,C,-1,017
29.01.24 8:26:01,C,-0,828
29.01.24 8:41:01,C,-0,765
29.01.24 8:56:01,C,-0,639
29.01.24 9:11:01,C,-0,954
29.01.24 9:26:01,C,-1,017
29.01.24 9:41:01,C,-1,08
29.01.24 9:56:01,C,-1,017
29.01.24 10:11:01,C,-1,08
29.01.24 10:26:01,C,-1,017
29.01.24 10:41:01,C,-0,954
29.01.24 10:56:01,C,-1,143
29.01.24 11:11:01,C,-1,017
29.01.24 11:26:01,C,-1,017
29.01.24 11:41:01,C,-0,954
29.01.24 11:56:01,C,-0,891
29.01.24 12:11:01,C,-0,765
29.01.24 12:26:01,C,-0,639
29.01.24 12:41:01,C,-0,765
29.01.24 12:56:01,C,-0,702
29.01.24 13:11:01,C,-0,513
29.01.24 13:26:01,C,-0,45
29.01.24 13:41:01,C,-0,576
29.01.24 13:56:01,C,-0,45
29.01.24 14:11:01,C,-0,45
29.01.24 14:26:01,C,-0,324
29.01.24 14:41:01,C,-0,199
29.01.24 14:56:01,C,-0,199
29.01.24 15:11:01,C,-0,136
29.01.24 15:26:01,C,-0,01
29.01.24 15:41:01,C,-0,01
29.01.24 15:56:01,C,0,242
29.01.24 16:11:01,C,0,242
29.01.24 16:26:01,C,0,431
29.01.24 16:41:01,C,0,557
29.01.24 16:56:01,C,0,745
29.01.24 17:11:01,C,0,808
29.01.24 17:26:01,C,0,682
29.01.24 17:41:01,C,0,682
29.01.24 17:56:01,C,0,557
29.01.24 18:11:01,C,0,494
29.01.24 18:26:01,C,0,62
29.01.24 18:41:01,C,0,871
29.01.24 18:56:01,C,0,871
29.01.24 19:11:01,C,0,871
29.01.24 19:26:01,C,0,745
29.01.24 19:41:01,C,0,557
29.01.24 19:56:01,C,0,053
29.01.24 20:11:01,C,0,745
29.01.24 20:26:01,C,0,997
29.01.24 20:41:01,C,1,186
29.01.24 20:56:01,C,1,249
29.01.24 21:11:01,C,1,312
29.01.24 21:26:01,C,0,934
29.01.24 21:41:01,C,0,997
29.01.24 21:56:01,C,0,745
29.01.24 22:11:01,C,0,997
29.01.24 22:26:01,C,1,123
29.01.24 22:41:01,C,1,249
29.01.24 22:56:01,C,1,249
29.01.24 23:11:01,C,1,06
29.01.24 23:26:01,C,0,997
29.01.24 23:41:01,C,1,06
29.01.24 23:56:01,C,0,997
30.01.24 0:11:01,C,0,808
30.01.24 0:26:01,C,0,682
30.01.24 0:41:01,C,0,305
30.01.24 0:56:01,C,0,431
30.01.24 1:11:01,C,0,305
30.01.24 1:26:01,C,0,368
30.01.24 1:41:01,C,0,368
30.01.24 1:56:01,C,0,494
30.01.24 2:11:01,C,0,305
30.01.24 2:26:01,C,0,053
30.01.24 2:41:01,C,-0,01
30.01.24 2:56:01,C,-0,199
30.01.24 3:11:01,C,-0,261
30.01.24 3:26:01,C,-0,45
30.01.24 3:41:01,C,-0,073
30.01.24 3:56:01,C,-0,073
30.01.24 4:11:01,C,-0,136
30.01.24 4:26:01,C,-0,01
30.01.24 4:41:01,C,-0,073
30.01.24 4:56:01,C,-0,073
30.01.24 5:11:01,C,-0,136
30.01.24 5:26:01,C,-0,136
30.01.24 5:41:01,C,-0,073
30.01.24 5:56:01,C,-0,073
30.01.24 6:11:01,C,-0,261
30.01.24 6:26:01,C,-0,01
30.01.24 6:41:01,C,0,053
30.01.24 6:56:01,C,0,053
30.01.24 7:11:01,C,-0,01
30.01.24 7:26:01,C,-0,45
30.01.24 7:41:01,C,-0,513
30.01.24 7:56:01,C,-0,828
30.01.24 8:11:01,C,-1,143
30.01.24 8:26:01,C,-1,52
30.01.24 8:41:01,C,-1,269
30.01.24 8:56:01,C,-0,954
30.01.24 9:11:01,C,-0,765
30.01.24 9:26:01,C,-1,332
30.01.24 9:41:01,C,-2,087
30.01.24 9:56:01,C,-2,591
30.01.24 10:11:01,C,-2,276
30.01.24 10:26:01,C,-2,78
30.01.24 10:41:01,C,-2,969
30.01.24 10:56:01,C,-2,906
30.01.24 11:11:01,C,-2,969
30.01.24 11:26:01,C,-2,339
30.01.24 11:41:01,C,-1,709
30.01.24 11:56:01,C,-1,457
30.01.24 12:11:01,C,-1,143
30.01.24 12:26:01,C,-1,017
30.01.24 12:41:01,C,-1,206
30.01.24 12:56:01,C,-1,017
30.01.24 13:11:01,C,-1,835
30.01.24 13:26:01,C,-0,954
30.01.24 13:41:01,C,-0,513
30.01.24 13:56:01,C,-0,261
30.01.24 14:11:01,C,-0,387
30.01.24 14:26:01,C,-0,324
30.01.24 14:41:01,C,-0,324
30.01.24 14:56:01,C,0,053
30.01.24 15:11:01,C,-0,01
30.01.24 15:26:01,C,0,116
30.01.24 15:41:01,C,0,179
30.01.24 15:56:01,C,0,116
30.01.24 16:11:01,C,0,116
30.01.24 16:26:01,C,0,242
30.01.24 16:41:01,C,0,682
30.01.24 16:56:01,C,0,62
30.01.24 17:11:01,C,0,431
30.01.24 17:26:01,C,0,179
30.01.24 17:41:01,C,0,179
30.01.24 17:56:01,C,0,305
30.01.24 18:11:01,C,0,368
30.01.24 18:26:01,C,0,431
30.01.24 18:41:01,C,0,179
30.01.24 18:56:01,C,-0,324
30.01.24 19:11:01,C,-0,261
30.01.24 19:26:01,C,-0,324
30.01.24 19:41:01,C,0,179
30.01.24 19:56:01,C,0,305
30.01.24 20:11:01,C,1,249
30.01.24 20:26:01,C,1,375
30.01.24 20:41:01,C,1,563
30.01.24 20:56:01,C,1,312
30.01.24 21:11:01,C,1,5
30.01.24 21:26:01,C,1,375
30.01.24 21:41:01,C,0,682
30.01.24 21:56:01,C,0,808
30.01.24 22:11:01,C,0,494
30.01.24 22:26:01,C,0,305
30.01.24 22:41:01,C,0,242
30.01.24 22:56:01,C,0,494
30.01.24 23:11:01,C,0,745
30.01.24 23:26:01,C,-0,073
30.01.24 23:41:01,C,-0,324
30.01.24 23:56:01,C,-0,136
31.01.24 0:11:01,C,-0,828
31.01.24 0:26:01,C,-1,08
31.01.24 0:41:01,C,-0,765
31.01.24 0:56:01,C,-1,269
31.01.24 1:11:01,C,-1,646
31.01.24 1:26:01,C,-1,961
31.01.24 1:41:01,C,-2,276
31.01.24 1:56:01,C,-2,591
31.01.24 2:11:01,C,-2,654
31.01.24 2:26:01,C,-2,15
31.01.24 2:41:01,C,-2,654
31.01.24 2:56:01,C,-3,032
31.01.24 3:11:01,C,-3,284
31.01.24 3:26:01,C,-3,725
31.01.24 3:41:01,C,-3,851
31.01.24 3:56:01,C,-3,725
31.01.24 4:11:01,C,-3,914
31.01.24 4:26:01,C,-3,914
31.01.24 4:41:01,C,-3,536
31.01.24 4:56:01,C,-3,536
31.01.24 5:11:01,C,-2,717
31.01.24 5:26:01,C,-2,969
31.01.24 5:41:01,C,-3,095
31.01.24 5:56:01,C,-2,654
31.01.24 6:11:01,C,-2,402
31.01.24 6:26:01,C,-2,402
31.01.24 6:41:01,C,-2,339
31.01.24 6:56:01,C,-1,835
31.01.24 7:11:01,C,-1,961
31.01.24 7:26:01,C,-1,835
31.01.24 7:41:01,C,-1,961
31.01.24 7:56:01,C,-1,835
31.01.24 8:11:01,C,-1,898
31.01.24 8:26:01,C,-1,835
31.01.24 8:41:01,C,-1,206
31.01.24 8:56:01,C,-1,583
31.01.24 9:11:01,C,-1,835
31.01.24 9:26:01,C,-1,835
31.01.24 9:41:01,C,-1,772
31.01.24 9:56:01,C,-2,213
31.01.24 10:11:01,C,-2,15
31.01.24 10:26:01,C,-2,843
31.01.24 10:41:01,C,-2,591
31.01.24 10:56:01,C,-2,276
31.01.24 11:11:01,C,-1,457
31.01.24 11:26:01,C,-1,143
31.01.24 11:41:01,C,-1,332
31.01.24 11:56:01,C,-1,457
31.01.24 12:11:01,C,-2,339
31.01.24 12:26:01,C,-2,528
31.01.24 12:41:01,C,-2,528
31.01.24 12:56:01,C,-2,276
31.01.24 13:11:01,C,-1,835
31.01.24 13:26:01,C,-1,772
31.01.24 13:41:01,C,-1,772
31.01.24 13:56:01,C,-1,898
31.01.24 14:11:01,C,-1,772
31.01.24 14:26:01,C,-1,646
31.01.24 14:41:01,C,-1,269
31.01.24 14:56:01,C,-1,143
31.01.24 15:11:01,C,-1,143
31.01.24 15:26:01,C,-1,08
31.01.24 15:41:01,C,-1,269
31.01.24 15:56:01,C,-1,457
31.01.24 16:11:01,C,-1,457
31.01.24 16:26:01,C,-1,52
31.01.24 16:41:01,C,-1,457
31.01.24 16:56:01,C,-1,08
31.01.24 17:11:01,C,-0,891
31.01.24 17:26:01,C,-0,702
31.01.24 17:41:01,C,-0,513
31.01.24 17:56:01,C,-0,324
31.01.24 18:11:01,C,-0,324
31.01.24 18:26:01,C,-0,324
31.01.24 18:41:01,C,-0,387
31.01.24 18:56:01,C,-0,324
