Date,Unit,Value,Dec
28.01.24 16:52:01,C,27,142
28.01.24 17:07:01,C,32,136
28.01.24 17:22:01,C,25,205
28.01.24 17:37:01,C,24,392
28.01.24 17:52:01,C,24,33
28.01.24 18:07:01,C,24,455
28.01.24 18:22:01,C,23,705
28.01.24 18:37:01,C,23,017
28.01.24 18:52:01,C,22,892
28.01.24 19:07:01,C,22,892
28.01.24 19:22:01,C,22,892
28.01.24 19:37:01,C,22,892
28.01.24 19:52:01,C,23,017
28.01.24 20:07:01,C,23,079
28.01.24 20:22:01,C,23,079
28.01.24 20:37:01,C,23,079
28.01.24 20:52:01,C,23,142
28.01.24 21:07:01,C,23,142
28.01.24 21:22:01,C,23,017
28.01.24 21:37:01,C,22,829
28.01.24 21:52:01,C,22,767
28.01.24 22:07:01,C,18,073
28.01.24 22:22:01,C,20,201
28.01.24 22:37:01,C,21,015
28.01.24 22:52:01,C,-2,087
28.01.24 23:07:01,C,-2,15
28.01.24 23:22:01,C,-2,024
28.01.24 23:37:01,C,-1,961
28.01.24 23:52:01,C,-2,087
29.01.24 0:07:01,C,-2,213
29.01.24 0:22:01,C,-2,276
29.01.24 0:37:01,C,-2,339
29.01.24 0:52:01,C,-2,213
29.01.24 1:07:01,C,-2,15
29.01.24 1:22:01,C,-2,213
29.01.24 1:37:01,C,-2,213
29.01.24 1:52:01,C,-2,213
29.01.24 2:07:01,C,-2,213
29.01.24 2:22:01,C,-2,087
29.01.24 2:37:01,C,-1,961
29.01.24 2:52:01,C,-1,898
29.01.24 3:07:01,C,-1,835
29.01.24 3:22:01,C,-1,709
29.01.24 3:37:01,C,-1,709
29.01.24 3:52:01,C,-1,709
29.01.24 4:07:01,C,-1,646
29.01.24 4:22:01,C,-1,709
29.01.24 4:37:01,C,-1,583
29.01.24 4:52:01,C,-1,52
29.01.24 5:07:01,C,-1,395
29.01.24 5:22:01,C,-1,332
29.01.24 5:37:01,C,-1,269
29.01.24 5:52:01,C,-1,206
29.01.24 6:07:01,C,-1,143
29.01.24 6:22:01,C,-1,08
29.01.24 6:37:01,C,-0,954
29.01.24 6:52:01,C,-0,828
29.01.24 7:07:01,C,-0,828
29.01.24 7:22:01,C,-0,891
29.01.24 7:37:01,C,-0,828
29.01.24 7:52:01,C,-0,828
29.01.24 8:07:01,C,-0,765
29.01.24 8:22:01,C,-0,702
29.01.24 8:37:01,C,-0,639
29.01.24 8:52:01,C,-0,576
29.01.24 9:07:01,C,-0,576
29.01.24 9:22:01,C,-0,576
29.01.24 9:37:01,C,-0,828
29.01.24 9:52:01,C,-0,702
29.01.24 10:07:01,C,-0,702
29.01.24 10:22:01,C,-0,828
29.01.24 10:37:01,C,-0,765
29.01.24 10:52:01,C,-0,639
