Date,Unit,Value,Dec
28.01.24 16:58:01,C,28,177
28.01.24 17:13:01,C,29,862
28.01.24 17:28:01,C,24,74
28.01.24 17:43:01,C,23,99
28.01.24 17:58:01,C,24,303
28.01.24 18:13:01,C,23,74
28.01.24 18:28:01,C,23,24
28.01.24 18:43:01,C,22,927
28.01.24 18:58:01,C,22,927
28.01.24 19:13:01,C,22,865
28.01.24 19:28:01,C,22,927
28.01.24 19:43:01,C,22,99
28.01.24 19:58:01,C,23,115
28.01.24 20:13:01,C,23,177
28.01.24 20:28:01,C,23,115
28.01.24 20:43:01,C,23,177
28.01.24 20:58:01,C,23,24
28.01.24 21:13:01,C,23,177
28.01.24 21:28:01,C,22,927
28.01.24 21:43:01,C,22,74
28.01.24 21:58:01,C,23,302
28.01.24 22:13:01,C,17,796
28.01.24 22:28:01,C,22,302
28.01.24 22:43:01,C,13,6
28.01.24 22:58:01,C,0,921
28.01.24 23:13:01,C,-2,098
28.01.24 23:28:01,C,-2,223
28.01.24 23:43:01,C,-2,223
28.01.24 23:58:01,C,-2,475
29.01.24 0:13:01,C,-2,349
29.01.24 0:28:01,C,-2,286
29.01.24 0:43:01,C,-2,286
29.01.24 0:58:01,C,-2,161
29.01.24 1:13:01,C,-2,286
29.01.24 1:28:01,C,-2,286
29.01.24 1:43:01,C,-2,223
29.01.24 1:58:01,C,-2,161
29.01.24 2:13:01,C,-2,035
29.01.24 2:28:01,C,-1,846
29.01.24 2:43:01,C,-1,846
29.01.24 2:58:01,C,-1,72
29.01.24 3:13:01,C,-1,594
29.01.24 3:28:01,C,-1,657
29.01.24 3:43:01,C,-1,532
29.01.24 3:58:01,C,-1,406
29.01.24 4:13:01,C,-1,532
29.01.24 4:28:01,C,-1,469
29.01.24 4:43:01,C,-1,28
29.01.24 4:58:01,C,-1,28
29.01.24 5:13:01,C,-1,091
29.01.24 5:28:01,C,-1,028
29.01.24 5:43:01,C,-0,965
29.01.24 5:58:01,C,-1,028
29.01.24 6:13:01,C,-0,903
29.01.24 6:28:01,C,-0,965
29.01.24 6:43:01,C,-0,84
29.01.24 6:58:01,C,-0,903
29.01.24 7:13:01,C,-0,903
29.01.24 7:28:01,C,-0,84
29.01.24 7:43:01,C,-0,777
29.01.24 7:58:01,C,-0,777
29.01.24 8:13:01,C,-0,714
29.01.24 8:28:01,C,-0,651
29.01.24 8:43:01,C,-0,588
29.01.24 8:58:01,C,-0,462
29.01.24 9:13:01,C,-0,525
29.01.24 9:28:01,C,-0,462
29.01.24 9:43:01,C,-0,462
29.01.24 9:58:01,C,-0,588
29.01.24 10:13:01,C,-0,777
29.01.24 10:28:01,C,-0,84
29.01.24 10:43:01,C,-0,651
29.01.24 10:58:01,C,-0,714
29.01.24 11:13:01,C,-0,84
29.01.24 11:28:01,C,-0,777
29.01.24 11:43:01,C,-0,714
29.01.24 11:58:01,C,-0,525
29.01.24 12:13:01,C,-0,588
29.01.24 12:28:01,C,-0,525
29.01.24 12:43:01,C,-0,211
29.01.24 12:58:01,C,-0,085
29.01.24 13:13:01,C,-0,085
29.01.24 13:28:01,C,-0,022
29.01.24 13:43:01,C,0,166
29.01.24 13:58:01,C,0,104
29.01.24 14:13:01,C,-0,022
29.01.24 14:28:01,C,0,104
29.01.24 14:43:01,C,0,229
29.01.24 14:58:01,C,0,229
29.01.24 15:13:01,C,0,229
29.01.24 15:28:01,C,0,292
29.01.24 15:43:01,C,0,418
29.01.24 15:58:01,C,0,544
29.01.24 16:13:01,C,0,606
29.01.24 16:28:01,C,0,606
29.01.24 16:43:01,C,0,669
29.01.24 16:58:01,C,0,795
29.01.24 17:13:01,C,0,795
29.01.24 17:28:01,C,0,921
29.01.24 17:43:01,C,0,795
29.01.24 17:58:01,C,0,669
29.01.24 18:13:01,C,0,544
29.01.24 18:28:01,C,0,921
29.01.24 18:43:01,C,1,047
29.01.24 18:58:01,C,0,984
29.01.24 19:13:01,C,1,047
29.01.24 19:28:01,C,0,984
29.01.24 19:43:01,C,0,795
29.01.24 19:58:01,C,0,481
29.01.24 20:13:01,C,1,109
29.01.24 20:28:01,C,1,424
29.01.24 20:43:01,C,1,738
29.01.24 20:58:01,C,1,738
29.01.24 21:13:01,C,1,926
29.01.24 21:28:01,C,1,864
29.01.24 21:43:01,C,1,926
29.01.24 21:58:01,C,1,738
29.01.24 22:13:01,C,1,738
29.01.24 22:28:01,C,1,801
29.01.24 22:43:01,C,1,801
29.01.24 22:58:01,C,1,612
29.01.24 23:13:01,C,1,487
29.01.24 23:28:01,C,1,361
29.01.24 23:43:01,C,1,298
29.01.24 23:58:01,C,1,172
30.01.24 0:13:01,C,1,172
30.01.24 0:28:01,C,0,481
30.01.24 0:43:01,C,0,229
30.01.24 0:58:01,C,0,418
30.01.24 1:13:01,C,0,544
30.01.24 1:28:01,C,0,732
30.01.24 1:43:01,C,0,858
